936 elicitation jobs (13 readers)
  25/936 (4s)
  50/936 (32s)
  75/936 (68s)
  100/936 (126s)
  125/936 (172s)
  150/936 (207s)
  175/936 (235s)
  200/936 (272s)
  225/936 (321s)
  250/936 (363s)
  275/936 (408s)
  300/936 (436s)
  325/936 (465s)
  350/936 (490s)
  375/936 (511s)
  400/936 (556s)
  425/936 (601s)
  450/936 (633s)
  475/936 (679s)
  500/936 (765s)
  525/936 (800s)
  550/936 (830s)
  575/936 (867s)
  600/936 (912s)
  625/936 (964s)
  650/936 (1011s)
  675/936 (1036s)
  700/936 (1063s)
  725/936 (1097s)
  750/936 (1149s)
  775/936 (1168s)
  800/936 (1210s)
  825/936 (1243s)
  850/936 (1271s)
  875/936 (1305s)
  900/936 (1338s)
  925/936 (1455s)
